ticket_id,customer_id,created_date,country,product_category,issue_type,priority,support_channel,agent_id,status,resolution_hours,sla_target_hours,customer_satisfaction
44,20497,2026-05-17 19:55:53.387968,Philippines,Laptop,Billing,Medium,Phone,157,Resolved,45.32,48,3
45,24846,2025-10-14 20:55:53.387968,Australia,Printer,Hardware Issue,High,WhatsApp,458,In Progress,63.04,48,1
46,1533,2026-03-24 04:55:53.387968,Philippines,Monitor,Billing,Critical,Web,236,Closed,42.19,24,1
47,20,2025-10-13 09:55:53.387968,Australia,Laptop,Setup,Low,Web,270,Resolved,31.04,8,3
48,31558,2026-06-27 16:55:53.387968,Malaysia,Accessory,Hardware Issue,Medium,Chat,400,Open,59.74,4,3
49,29433,2025-10-14 03:55:53.387968,India,Printer,Billing,Critical,WhatsApp,398,In Progress,30.76,8,4
50,486,2026-03-07 02:55:53.387968,Indonesia,Desktop,Software Issue,Medium,WhatsApp,95,In Progress,72.08,24,2
51,7150,2025-06-19 03:55:53.387968,Malaysia,Accessory,Hardware Issue,High,Phone,485,Resolved,81.40,4,2
52,37527,2026-04-01 20:55:53.387968,Philippines,Desktop,Performance,High,Email,229,Closed,32.18,8,4
53,30484,2024-10-01 04:55:53.387968,Malaysia,Accessory,Performance,Medium,Phone,384,Closed,1.94,48,5
54,13823,2025-08-26 21:55:53.387968,Indonesia,Desktop,Performance,Medium,Chat,246,Resolved,93.86,8,5
55,11956,2026-03-02 09:55:53.387968,Indonesia,Desktop,Performance,Low,Email,2,Resolved,1.89,8,1
56,25097,2025-06-29 19:55:53.387968,Malaysia,Desktop,Connectivity,High,WhatsApp,398,Resolved,67.81,24,2
57,17836,2026-09-16 10:55:53.387968,New Zealand,Laptop,Connectivity,Medium,Phone,81,In Progress,12.52,4,4
58,30239,2025-02-10 02:55:53.387968,Malaysia,Accessory,Performance,High,Phone,198,In Progress,43.31,4,1
59,14462,2024-12-17 23:55:53.387968,Malaysia,Desktop,Software Issue,High,Email,106,Resolved,33.33,4,1
60,12604,2025-03-21 23:55:53.387968,Indonesia,Printer,Performance,Critical,Web,267,In Progress,26.82,8,1
61,12721,2024-11-07 06:55:53.387968,New Zealand,Monitor,Performance,Medium,Chat,144,Open,45.28,4,4
62,20224,2026-07-25 01:55:53.387968,Singapore,Printer,Setup,Critical,Email,254,Resolved,55.41,4,4
63,36983,2025-06-01 07:55:53.387968,New Zealand,Accessory,Hardware Issue,Medium,WhatsApp,390,Resolved,39.11,24,3
64,28070,2025-05-10 17:55:53.387968,Australia,Printer,Hardware Issue,Low,Web,323,Resolved,20.11,4,1
65,14544,2026-07-05 02:55:53.387968,Philippines,Accessory,Hardware Issue,Low,Web,490,Resolved,59.65,4,5
66,40748,2024-10-07 03:55:53.387968,Indonesia,Accessory,Billing,Medium,Chat,358,Closed,19.28,48,4
67,44416,2025-11-18 16:55:53.387968,Malaysia,Desktop,Connectivity,Low,Chat,169,In Progress,34.40,8,5
68,36054,2025-12-31 15:55:53.387968,Australia,Laptop,Performance,High,Web,124,Resolved,25.80,24,1
69,46862,2025-06-09 12:55:53.387968,Philippines,Desktop,Hardware Issue,Critical,Web,56,In Progress,18.54,8,2
70,22856,2026-09-18 02:55:53.387968,Singapore,Monitor,Performance,High,Phone,232,Resolved,80.86,24,1
71,24209,2025-07-27 01:55:53.387968,Australia,Accessory,Hardware Issue,Critical,WhatsApp,393,Closed,79.82,4,5
72,39167,2025-02-09 20:55:53.387968,Malaysia,Desktop,Software Issue,High,Web,278,Resolved,26.24,8,2
73,15940,2025-09-16 19:55:53.387968,Philippines,Accessory,Performance,High,Phone,28,Resolved,25.38,4,2
74,7290,2026-06-02 14:55:53.387968,Malaysia,Printer,Performance,Low,Chat,294,In Progress,28.50,4,5
75,21517,2026-01-01 22:55:53.387968,Philippines,Laptop,Setup,Critical,Phone,455,Closed,52.58,24,4
76,45551,2026-05-01 04:55:53.387968,India,Accessory,Setup,Medium,Email,259,Open,94.45,4,2
77,37602,2024-12-07 11:55:53.387968,Singapore,Desktop,Hardware Issue,Low,Chat,7,In Progress,13.41,48,4
78,4483,2026-07-26 14:55:53.387968,Indonesia,Laptop,Setup,Critical,WhatsApp,238,Open,5.22,24,3
79,1575,2024-11-16 10:55:53.387968,Australia,Printer,Connectivity,Critical,WhatsApp,214,Closed,31.85,48,2
80,22275,2026-09-13 21:55:53.387968,Australia,Desktop,Performance,Medium,WhatsApp,239,In Progress,78.83,24,3
81,13823,2025-07-03 23:55:53.387968,Australia,Monitor,Billing,Medium,Web,108,Open,55.66,48,2
82,26824,2024-12-11 09:55:53.387968,Indonesia,Desktop,Billing,Critical,Phone,179,Resolved,63.95,4,4
83,20302,2025-09-17 09:55:53.387968,Australia,Laptop,Connectivity,Medium,Chat,223,Resolved,56.94,8,2
84,47503,2026-09-13 19:55:53.387968,India,Laptop,Hardware Issue,Critical,Chat,56,Closed,66.01,8,1
85,2076,2026-04-21 16:55:53.387968,Malaysia,Printer,Software Issue,High,WhatsApp,100,Open,57.41,4,3
86,1046,2024-11-17 14:55:53.387968,New Zealand,Monitor,Billing,Critical,Web,488,Closed,55.91,8,5
87,33209,2026-04-13 05:55:53.387968,Philippines,Desktop,Software Issue,High,Web,477,Open,31.04,8,5
88,3577,2025-02-19 19:55:53.387968,Philippines,Desktop,Setup,Critical,WhatsApp,10,Open,44.60,48,4
89,45765,2026-02-01 16:55:53.387968,Philippines,Monitor,Connectivity,Medium,Email,69,Open,91.60,4,1
90,29009,2025-05-24 01:55:53.387968,Philippines,Desktop,Hardware Issue,Low,Chat,277,Open,56.37,48,4
91,36943,2026-05-27 18:55:53.387968,Indonesia,Accessory,Performance,High,Chat,4,Open,66.71,24,4
92,37168,2026-05-06 19:55:53.387968,India,Printer,Hardware Issue,High,WhatsApp,433,Open,94.45,8,3
93,30122,2024-12-06 22:55:53.387968,Singapore,Monitor,Setup,Critical,Web,171,In Progress,86.07,24,4
94,18409,2026-04-12 23:55:53.387968,Indonesia,Accessory,Software Issue,Medium,Web,128,Open,34.19,24,3
95,43240,2024-09-22 05:55:53.387968,Singapore,Laptop,Connectivity,Low,Chat,246,Resolved,89.82,24,1
96,21288,2026-05-25 06:55:53.387968,Singapore,Accessory,Billing,Low,Chat,396,Closed,62.15,8,1
97,10856,2026-02-20 08:55:53.387968,Indonesia,Desktop,Performance,Critical,Phone,199,Closed,32.67,48,2
98,49531,2025-04-01 02:55:53.387968,Australia,Desktop,Connectivity,Critical,WhatsApp,453,Closed,29.11,4,5
99,23107,2024-11-28 15:55:53.387968,Philippines,Accessory,Connectivity,Medium,Phone,258,Open,54.56,48,2
100,5789,2026-08-05 07:55:53.387968,Singapore,Accessory,Setup,Critical,WhatsApp,84,Closed,28.31,8,5
101,30072,2025-04-01 10:55:53.387968,Australia,Accessory,Performance,High,Web,10,In Progress,37.97,8,4
102,43944,2024-12-28 11:55:53.387968,India,Printer,Software Issue,Medium,WhatsApp,109,Open,55.68,24,2
103,1000,2025-08-02 19:55:53.387968,India,Laptop,Setup,Medium,Phone,491,Closed,67.41,24,5
104,17410,2026-09-11 19:55:53.387968,Australia,Desktop,Software Issue,High,Chat,481,In Progress,44.02,8,3
105,44220,2026-07-29 10:55:53.387968,Philippines,Desktop,Software Issue,Critical,Email,376,Resolved,36.48,8,5
106,9743,2025-07-16 10:55:53.387968,Australia,Printer,Billing,High,Phone,101,Open,1.48,48,1
107,6732,2025-07-17 11:55:53.387968,Indonesia,Printer,Billing,Critical,Email,454,Open,42.18,8,4
108,35450,2025-09-13 10:55:53.387968,Australia,Laptop,Billing,Critical,Phone,233,Closed,48.90,24,5
109,6677,2026-02-06 11:55:53.387968,Australia,Monitor,Software Issue,Medium,Web,196,Resolved,71.75,24,2
110,34646,2024-12-03 19:55:53.387968,New Zealand,Monitor,Connectivity,Medium,Phone,221,In Progress,58.80,8,4
111,8155,2025-06-28 22:55:53.387968,Singapore,Printer,Billing,Medium,Chat,365,Resolved,92.94,8,5
112,26430,2024-11-18 04:55:53.387968,Australia,Accessory,Hardware Issue,Medium,Email,114,In Progress,87.35,8,1
113,12557,2025-12-19 01:55:53.387968,Singapore,Accessory,Setup,High,Chat,322,Open,68.72,8,3
114,38955,2025-12-01 18:55:53.387968,Indonesia,Desktop,Billing,High,Email,165,Open,15.15,48,2
115,424,2026-04-29 10:55:53.387968,Singapore,Printer,Setup,High,WhatsApp,208,Open,37.81,8,1
116,33807,2026-01-13 21:55:53.387968,Indonesia,Printer,Billing,Critical,Web,354,Resolved,67.43,24,2
117,33739,2026-02-26 09:55:53.387968,Singapore,Monitor,Software Issue,Critical,WhatsApp,317,Closed,62.32,48,4
118,2347,2025-07-27 02:55:53.387968,Australia,Printer,Performance,Critical,WhatsApp,7,In Progress,24.24,4,4
119,23452,2024-12-10 03:55:53.387968,New Zealand,Monitor,Software Issue,Critical,WhatsApp,71,Open,74.68,8,4
120,37351,2025-04-06 06:55:53.387968,Philippines,Accessory,Setup,High,Web,53,In Progress,91.76,24,2
121,6519,2025-01-14 14:55:53.387968,Indonesia,Accessory,Setup,Critical,Email,248,Closed,62.29,24,3
122,36395,2026-07-02 01:55:53.387968,Australia,Monitor,Connectivity,High,Email,138,Resolved,10.44,4,2
123,24722,2026-08-19 14:55:53.387968,Indonesia,Monitor,Performance,High,WhatsApp,313,In Progress,35.64,8,3
124,13010,2026-01-06 02:55:53.387968,Indonesia,Desktop,Setup,Medium,Chat,493,Resolved,51.66,24,3
125,1707,2026-02-27 21:55:53.387968,Indonesia,Laptop,Software Issue,Critical,Chat,254,Open,60.75,8,2
126,25447,2025-07-12 07:55:53.387968,Singapore,Laptop,Setup,High,Web,109,Resolved,84.55,48,3
127,16171,2025-11-05 14:55:53.387968,Indonesia,Laptop,Setup,Medium,Phone,228,Open,23.87,24,1
128,22274,2025-03-04 04:55:53.387968,Philippines,Printer,Software Issue,Medium,Chat,323,Open,4.74,48,4
129,44121,2025-09-30 08:55:53.387968,Philippines,Monitor,Hardware Issue,Medium,WhatsApp,405,In Progress,36.52,48,5
130,47641,2026-05-20 22:55:53.387968,Indonesia,Laptop,Performance,Medium,Web,216,Open,13.93,24,5
131,18964,2025-04-05 01:55:53.387968,India,Monitor,Setup,Critical,Phone,358,Closed,82.61,8,5
132,46651,2025-10-03 13:55:53.387968,New Zealand,Monitor,Hardware Issue,Medium,Chat,99,Open,42.44,48,5
133,16782,2024-09-21 23:55:53.387968,Singapore,Desktop,Hardware Issue,Low,Chat,480,Resolved,41.04,24,3
134,30128,2026-07-07 01:55:53.387968,Indonesia,Accessory,Hardware Issue,Medium,Phone,5,Resolved,66.55,8,2
135,21721,2026-09-02 03:55:53.387968,India,Desktop,Software Issue,Medium,Email,318,Open,62.60,8,3
136,26641,2026-06-26 15:55:53.387968,India,Printer,Connectivity,Medium,Chat,70,Closed,2.33,4,1
137,36426,2025-07-24 14:55:53.387968,Australia,Accessory,Setup,Critical,Web,82,Resolved,77.25,24,2
138,9903,2026-04-18 09:55:53.387968,Singapore,Monitor,Billing,High,Phone,460,Closed,37.66,48,2
139,47717,2025-09-13 03:55:53.387968,Indonesia,Accessory,Performance,Critical,Email,63,Open,59.73,8,3
140,16790,2025-07-18 22:55:53.387968,Indonesia,Monitor,Setup,Medium,Phone,374,In Progress,90.32,24,2
141,3657,2026-03-18 19:55:53.387968,India,Monitor,Hardware Issue,High,Phone,169,Resolved,43.05,8,1
142,26297,2026-07-02 00:55:53.387968,Philippines,Accessory,Connectivity,High,Phone,337,Open,10.27,48,3
143,14712,2025-07-22 14:55:53.387968,Philippines,Printer,Software Issue,Medium,Phone,191,Closed,19.52,24,4
144,17527,2026-07-08 05:55:53.387968,New Zealand,Desktop,Billing,Low,WhatsApp,204,Open,92.63,8,4
145,22593,2024-10-08 14:55:53.387968,Australia,Accessory,Billing,High,Chat,320,Open,33.88,8,3
146,36328,2024-11-27 13:55:53.387968,New Zealand,Monitor,Hardware Issue,Critical,Phone,87,In Progress,22.58,48,3
147,8114,2025-05-03 07:55:53.387968,Australia,Laptop,Setup,High,Web,299,In Progress,92.13,24,2
148,36658,2025-10-19 13:55:53.387968,Philippines,Laptop,Hardware Issue,Low,Web,423,Closed,87.54,8,3
149,3028,2026-06-28 08:55:53.387968,New Zealand,Laptop,Hardware Issue,High,WhatsApp,166,Closed,56.28,24,5
150,3614,2026-06-16 12:55:53.387968,Singapore,Accessory,Setup,High,Web,418,In Progress,31.72,8,1
151,31777,2025-06-29 04:55:53.387968,Indonesia,Desktop,Connectivity,Low,Web,374,Resolved,73.96,48,3
152,42532,2025-10-24 11:55:53.387968,Singapore,Monitor,Software Issue,High,Email,50,Open,17.46,8,4
153,17197,2026-03-28 09:55:53.387968,Malaysia,Desktop,Setup,Critical,Email,282,Open,43.83,8,5
154,44668,2025-04-28 10:55:53.387968,Singapore,Desktop,Connectivity,High,Web,128,Closed,15.28,4,1
155,9542,2025-03-16 22:55:53.387968,Malaysia,Printer,Connectivity,Low,Phone,84,Resolved,79.77,8,4
156,28705,2025-06-26 17:55:53.387968,Philippines,Desktop,Connectivity,High,Web,58,Closed,16.47,24,3
157,31112,2025-05-26 16:55:53.387968,India,Monitor,Performance,Critical,Chat,456,Open,56.89,48,4
158,27934,2024-12-18 17:55:53.387968,New Zealand,Printer,Software Issue,Medium,Web,46,Resolved,73.40,24,4
159,46346,2026-07-28 05:55:53.387968,Indonesia,Laptop,Billing,Critical,WhatsApp,339,Open,21.30,24,2
160,33919,2025-11-28 04:55:53.387968,Malaysia,Laptop,Hardware Issue,Low,WhatsApp,2,Closed,46.10,4,3
161,3133,2026-05-10 14:55:53.387968,New Zealand,Printer,Connectivity,Critical,WhatsApp,484,Open,59.05,48,1
162,7215,2025-12-20 10:55:53.387968,Malaysia,Laptop,Performance,Critical,Web,208,In Progress,81.79,4,5
163,6429,2025-09-09 06:55:53.387968,Indonesia,Desktop,Setup,Medium,Email,205,Resolved,31.06,48,4
164,25501,2024-11-20 03:55:53.387968,Australia,Accessory,Performance,Medium,Phone,261,Open,51.94,48,3
165,35387,2025-03-04 00:55:53.387968,Malaysia,Laptop,Connectivity,Low,Phone,440,Closed,60.01,8,4
166,33913,2025-10-10 21:55:53.387968,New Zealand,Desktop,Connectivity,Critical,WhatsApp,338,Closed,51.11,8,4
167,16748,2025-11-29 18:55:53.387968,Malaysia,Laptop,Hardware Issue,High,WhatsApp,96,Open,58.66,48,2
168,38807,2025-12-12 17:55:53.387968,Malaysia,Accessory,Setup,Critical,Web,307,Resolved,56.12,8,4
169,38872,2025-05-06 01:55:53.387968,New Zealand,Accessory,Billing,Critical,Chat,495,Closed,50.42,24,1
170,1850,2024-10-21 20:55:53.387968,India,Printer,Hardware Issue,Critical,Web,133,Closed,28.83,48,5
171,2894,2026-06-24 19:55:53.387968,Singapore,Accessory,Billing,High,Phone,302,Resolved,31.91,8,1
172,40951,2026-02-05 05:55:53.387968,India,Printer,Hardware Issue,Critical,Phone,454,Resolved,45.07,48,5
173,36715,2025-10-29 06:55:53.387968,Indonesia,Desktop,Connectivity,Medium,Email,406,Closed,94.15,48,4
174,23422,2024-12-03 03:55:53.387968,Malaysia,Printer,Software Issue,Critical,Email,114,Resolved,15.15,48,1
175,2896,2025-01-18 12:55:53.387968,India,Monitor,Connectivity,Critical,Chat,39,Resolved,63.87,48,5
176,14397,2025-07-07 15:55:53.387968,Australia,Monitor,Software Issue,Medium,WhatsApp,38,In Progress,36.23,48,4
177,10164,2025-01-22 15:55:53.387968,Singapore,Desktop,Software Issue,Critical,Email,304,In Progress,51.99,4,1
178,40124,2024-10-19 05:55:53.387968,Australia,Desktop,Connectivity,Medium,Chat,413,Resolved,79.48,4,2
179,23173,2025-10-12 03:55:53.387968,Philippines,Printer,Billing,Medium,WhatsApp,112,Resolved,92.57,24,2
180,39495,2025-08-07 06:55:53.387968,Malaysia,Laptop,Setup,Medium,Email,238,Open,64.93,8,5
181,2071,2025-11-16 02:55:53.387968,India,Printer,Billing,Medium,Phone,44,Closed,51.45,24,2
182,41312,2026-08-14 23:55:53.387968,Malaysia,Accessory,Software Issue,High,WhatsApp,14,In Progress,65.54,8,5
183,5572,2026-06-07 14:55:53.387968,India,Desktop,Connectivity,High,Chat,311,In Progress,86.67,8,2
184,400,2026-02-14 21:55:53.387968,Philippines,Desktop,Setup,Low,Chat,181,Resolved,84.34,8,3
185,49682,2026-04-05 22:55:53.387968,India,Desktop,Setup,High,WhatsApp,280,Open,30.46,48,1
186,3318,2025-05-25 15:55:53.387968,Australia,Accessory,Hardware Issue,Critical,WhatsApp,315,In Progress,40.32,24,2
187,31166,2025-01-06 00:55:53.387968,New Zealand,Printer,Software Issue,Low,Phone,349,Closed,69.68,48,5
188,9535,2026-03-27 02:55:53.387968,Philippines,Monitor,Setup,Low,Email,289,Resolved,89.48,48,4
189,31955,2026-01-17 15:55:53.387968,India,Desktop,Setup,Critical,Chat,236,Open,64.34,4,3
190,4712,2025-05-10 22:55:53.387968,Singapore,Laptop,Connectivity,Low,Email,323,Closed,2.69,8,3
191,27370,2026-06-14 17:55:53.387968,Malaysia,Monitor,Setup,Low,WhatsApp,179,Resolved,85.84,48,5
192,43948,2026-02-18 11:55:53.387968,Australia,Laptop,Setup,Critical,Chat,180,Closed,81.80,8,5
193,38034,2025-06-25 02:55:53.387968,Indonesia,Monitor,Connectivity,Low,Chat,134,In Progress,26.75,48,4
194,370,2026-03-11 02:55:53.387968,Singapore,Desktop,Performance,Medium,Chat,439,Open,52.88,4,1
195,45768,2026-06-14 10:55:53.387968,Singapore,Accessory,Billing,High,WhatsApp,429,Closed,46.26,8,3
196,44653,2025-07-26 13:55:53.387968,New Zealand,Monitor,Hardware Issue,Critical,Phone,406,Closed,23.61,48,4
197,38839,2025-01-06 05:55:53.387968,Philippines,Accessory,Connectivity,Critical,WhatsApp,185,Resolved,21.91,48,2
198,1917,2025-04-28 11:55:53.387968,Singapore,Desktop,Setup,High,Chat,335,Closed,31.21,48,2
199,30138,2025-03-16 11:55:53.387968,New Zealand,Laptop,Software Issue,Low,Chat,285,Resolved,27.12,48,5
200,36207,2024-11-02 06:55:53.387968,Australia,Laptop,Software Issue,Critical,Web,356,Closed,22.27,4,5
201,29497,2025-12-12 04:55:53.387968,New Zealand,Accessory,Connectivity,Medium,Web,177,In Progress,42.20,8,4
202,110,2026-06-21 00:55:53.387968,Singapore,Laptop,Setup,Critical,WhatsApp,399,Open,16.58,48,4
203,31541,2026-03-30 01:55:53.387968,New Zealand,Accessory,Performance,Low,WhatsApp,98,Open,87.78,8,5
204,4363,2025-11-04 12:55:53.387968,Philippines,Printer,Billing,High,Email,305,Open,28.10,4,5
205,9904,2026-03-23 17:55:53.387968,New Zealand,Accessory,Performance,Critical,Email,252,Open,48.54,4,1
206,5232,2026-03-09 23:55:53.387968,Singapore,Laptop,Software Issue,High,Phone,132,Open,84.06,48,2
207,6223,2024-10-17 21:55:53.387968,Australia,Laptop,Software Issue,High,WhatsApp,122,Closed,81.93,8,5
208,29721,2026-04-06 18:55:53.387968,Australia,Printer,Software Issue,Low,Phone,277,Resolved,13.03,24,2
209,28718,2024-12-10 14:55:53.387968,India,Monitor,Billing,Medium,WhatsApp,359,In Progress,19.18,8,2
210,29083,2025-06-03 13:55:53.387968,Indonesia,Laptop,Connectivity,Critical,WhatsApp,100,Resolved,1.86,4,3
211,39547,2024-11-07 06:55:53.387968,Indonesia,Monitor,Setup,Medium,Email,412,Closed,9.67,4,4
212,11866,2026-08-17 21:55:53.387968,Philippines,Printer,Hardware Issue,Low,WhatsApp,211,Open,41.54,8,4
213,37563,2026-05-14 16:55:53.387968,New Zealand,Desktop,Hardware Issue,Critical,Web,242,Resolved,61.29,48,2
214,43809,2025-07-05 05:55:53.387968,India,Accessory,Hardware Issue,High,Email,104,Resolved,58.62,48,1
215,49039,2025-05-28 09:55:53.387968,Indonesia,Desktop,Performance,High,WhatsApp,342,Resolved,37.53,4,4
216,8098,2026-06-18 00:55:53.387968,Philippines,Accessory,Setup,Low,Web,199,In Progress,33.23,24,5
217,26335,2025-08-27 00:55:53.387968,Philippines,Accessory,Performance,Low,Phone,195,Open,31.30,4,4
218,35194,2026-09-01 03:55:53.387968,New Zealand,Laptop,Software Issue,Medium,Web,472,In Progress,9.41,24,1
219,22776,2024-10-10 08:55:53.387968,Singapore,Monitor,Hardware Issue,Low,Web,67,Open,16.73,24,3
220,20604,2025-01-07 09:55:53.387968,India,Accessory,Billing,Medium,WhatsApp,446,Closed,27.34,48,2
221,34622,2024-11-18 11:55:53.387968,Australia,Laptop,Performance,Low,Phone,45,Resolved,93.49,4,1
222,4398,2025-08-10 02:55:53.387968,Philippines,Accessory,Connectivity,Medium,Web,464,Closed,32.51,8,1
223,27141,2026-03-14 09:55:53.387968,New Zealand,Desktop,Performance,Medium,Web,351,Closed,31.30,8,1
224,45834,2026-03-26 03:55:53.387968,Australia,Laptop,Software Issue,High,Chat,208,Open,2.42,4,5
225,49140,2025-10-23 22:55:53.387968,Australia,Accessory,Software Issue,High,Email,324,Closed,51.76,4,1
226,89,2025-07-05 14:55:53.387968,Malaysia,Laptop,Billing,Medium,Chat,485,Resolved,84.42,48,2
227,20928,2025-11-01 11:55:53.387968,Singapore,Printer,Hardware Issue,Medium,Email,273,In Progress,17.73,48,1
228,7942,2025-08-27 05:55:53.387968,Indonesia,Desktop,Software Issue,Low,Web,23,Resolved,39.14,48,1
229,32718,2026-04-23 23:55:53.387968,Malaysia,Accessory,Billing,Critical,WhatsApp,364,In Progress,93.92,8,3
230,39660,2025-12-14 06:55:53.387968,India,Accessory,Billing,High,Email,57,In Progress,6.68,4,1
231,14678,2024-11-16 23:55:53.387968,India,Monitor,Hardware Issue,Medium,WhatsApp,313,Resolved,30.06,4,1
232,40655,2025-11-22 00:55:53.387968,Philippines,Monitor,Software Issue,Low,Web,143,Open,45.42,48,4
233,43964,2026-03-26 09:55:53.387968,India,Desktop,Hardware Issue,Low,Chat,389,Open,93.71,4,5
234,25100,2024-12-27 08:55:53.387968,India,Laptop,Performance,High,Phone,261,Closed,52.93,24,4
235,17443,2025-01-19 07:55:53.387968,Malaysia,Laptop,Connectivity,Critical,Phone,131,In Progress,29.07,4,1
236,33735,2024-10-28 00:55:53.387968,New Zealand,Monitor,Connectivity,Medium,Chat,500,Resolved,20.97,24,2
237,13334,2026-08-22 20:55:53.387968,Indonesia,Monitor,Hardware Issue,Medium,Chat,320,In Progress,86.86,24,5
238,23577,2025-08-31 16:55:53.387968,Philippines,Accessory,Hardware Issue,Low,Chat,256,In Progress,72.59,4,5
239,26545,2024-12-22 15:55:53.387968,Singapore,Monitor,Hardware Issue,Low,Chat,202,In Progress,40.33,8,1
240,14125,2026-08-12 22:55:53.387968,India,Laptop,Billing,Medium,Chat,476,In Progress,50.97,48,1
