order_id,customer_id,order_date,order_status,payment_method,sales_channel
ORD0000123,CUST007631,2024-08-25,Processing,Bank Transfer,Website
ORD0000124,CUST038638,2023-12-24,Shipped,Debit Card,Partner
ORD0000125,CUST036690,2023-10-16,Shipped,Digital Wallet,Mobile App
ORD0000126,CUST029045,2025-03-07,Processing,UPI,Mobile App
ORD0000127,CUST029884,2025-07-13,Processing,Credit Card,Mobile App
ORD0000128,CUST012503,2025-03-07,Processing,Bank Transfer,Partner
ORD0000129,CUST005948,2025-04-25,Returned,Credit Card,Mobile App
ORD0000130,CUST038152,2026-07-04,Processing,Debit Card,Partner
ORD0000131,CUST005024,2026-06-24,Cancelled,Credit Card,Mobile App
ORD0000132,CUST036251,2023-11-09,Cancelled,Bank Transfer,Partner
ORD0000133,CUST017985,2026-02-02,Shipped,Bank Transfer,Retail Store
ORD0000134,CUST027076,2026-03-11,Completed,UPI,Website
ORD0000135,CUST023777,2026-09-16,Completed,Digital Wallet,Retail Store
ORD0000136,CUST013041,2026-06-22,Processing,UPI,Website
ORD0000137,CUST009570,2024-07-30,Processing,Debit Card,Partner
ORD0000138,CUST007056,2025-05-20,Processing,Credit Card,Mobile App
ORD0000139,CUST043673,2024-11-21,Shipped,UPI,Retail Store
ORD0000140,CUST015342,2024-07-08,Cancelled,Digital Wallet,Partner
ORD0000141,CUST013335,2025-11-12,Completed,Debit Card,Retail Store
ORD0000142,CUST049719,2025-05-15,Shipped,Digital Wallet,Retail Store
ORD0000143,CUST040685,2025-02-25,Returned,Bank Transfer,Mobile App
ORD0000144,CUST004635,2026-08-10,Returned,Bank Transfer,Mobile App
ORD0000145,CUST048904,2025-01-16,Completed,UPI,Retail Store
ORD0000146,CUST017881,2025-02-19,Processing,Credit Card,Retail Store
ORD0000147,CUST044701,2025-02-10,Processing,Bank Transfer,Partner
ORD0000148,CUST031761,2024-11-13,Processing,UPI,Website
ORD0000149,CUST012612,2024-02-21,Shipped,Credit Card,Mobile App
ORD0000150,CUST019749,2023-09-28,Shipped,Bank Transfer,Mobile App
ORD0000151,CUST038827,2024-10-04,Completed,UPI,Partner
ORD0000152,CUST049734,2025-11-22,Cancelled,Credit Card,Partner
ORD0000153,CUST017580,2025-08-21,Cancelled,Digital Wallet,Mobile App
ORD0000154,CUST047549,2024-12-12,Cancelled,Digital Wallet,Website
ORD0000155,CUST003886,2026-06-07,Completed,Bank Transfer,Retail Store
ORD0000156,CUST021158,2025-12-21,Completed,Debit Card,Retail Store
ORD0000157,CUST020409,2024-02-17,Completed,Credit Card,Website
ORD0000158,CUST033682,2024-04-08,Completed,Credit Card,Partner
ORD0000159,CUST008624,2024-06-19,Shipped,Credit Card,Partner
ORD0000160,CUST047293,2026-07-13,Completed,Credit Card,Partner
ORD0000161,CUST004161,2025-04-01,Completed,UPI,Retail Store
ORD0000162,CUST034814,2026-02-11,Shipped,Bank Transfer,Mobile App
ORD0000163,CUST012523,2025-07-07,Returned,Credit Card,Mobile App
ORD0000164,CUST048985,2025-12-20,Processing,Credit Card,Mobile App
ORD0000165,CUST038802,2025-10-06,Processing,Bank Transfer,Retail Store
ORD0000166,CUST016979,2026-07-08,Shipped,UPI,Website
ORD0000167,CUST019935,2026-02-08,Returned,Bank Transfer,Mobile App
ORD0000168,CUST013996,2024-04-04,Completed,Debit Card,Partner
ORD0000169,CUST013086,2025-02-21,Processing,Credit Card,Website
ORD0000170,CUST016108,2024-03-12,Returned,Credit Card,Mobile App
ORD0000171,CUST045226,2026-07-22,Processing,UPI,Partner
ORD0000172,CUST017527,2026-03-11,Cancelled,Digital Wallet,Website
ORD0000173,CUST005828,2026-06-05,Completed,UPI,Website
ORD0000174,CUST045843,2025-09-06,Cancelled,Bank Transfer,Website
ORD0000175,CUST038991,2026-05-13,Processing,UPI,Partner
ORD0000176,CUST042346,2025-07-29,Completed,Credit Card,Website
ORD0000177,CUST033255,2026-05-10,Cancelled,Credit Card,Website
ORD0000178,CUST047754,2025-08-16,Shipped,Debit Card,Mobile App
ORD0000179,CUST033801,2026-06-09,Processing,UPI,Mobile App
ORD0000180,CUST036998,2025-11-23,Processing,Bank Transfer,Mobile App
ORD0000181,CUST041701,2024-02-29,Shipped,Debit Card,Mobile App
ORD0000182,CUST028844,2025-08-09,Cancelled,Debit Card,Website
ORD0000183,CUST039039,2025-08-09,Processing,Credit Card,Website
ORD0000184,CUST011398,2025-09-14,Cancelled,Debit Card,Mobile App
ORD0000185,CUST000424,2025-02-04,Processing,Digital Wallet,Retail Store
ORD0000186,CUST018655,2025-12-25,Shipped,Bank Transfer,Mobile App
ORD0000187,CUST025868,2024-05-26,Returned,Debit Card,Website
ORD0000188,CUST000420,2024-11-12,Completed,UPI,Retail Store
ORD0000189,CUST011241,2026-03-25,Completed,Bank Transfer,Mobile App
ORD0000190,CUST049011,2025-05-18,Returned,Digital Wallet,Retail Store
ORD0000191,CUST028272,2025-01-23,Completed,Debit Card,Retail Store
ORD0000192,CUST006585,2024-02-29,Processing,Credit Card,Partner
ORD0000193,CUST038576,2026-05-05,Returned,Bank Transfer,Partner
ORD0000194,CUST011794,2023-11-05,Returned,Bank Transfer,Retail Store
ORD0000195,CUST049697,2025-12-02,Shipped,Digital Wallet,Website
ORD0000196,CUST012029,2024-10-04,Completed,Credit Card,Mobile App
ORD0000197,CUST041211,2024-08-26,Completed,Bank Transfer,Mobile App
ORD0000198,CUST029020,2026-08-09,Shipped,Credit Card,Retail Store
ORD0000199,CUST017157,2026-02-02,Completed,UPI,Retail Store
ORD0000200,CUST023427,2026-01-22,Processing,Debit Card,Website
ORD0000201,CUST016905,2023-11-13,Processing,UPI,Mobile App
ORD0000202,CUST020968,2026-05-27,Completed,Credit Card,Retail Store
ORD0000203,CUST046884,2025-11-30,Returned,Bank Transfer,Mobile App
ORD0000204,CUST011240,2026-06-21,Returned,UPI,Mobile App
ORD0000205,CUST026196,2026-01-18,Shipped,Digital Wallet,Retail Store
ORD0000206,CUST048641,2023-11-14,Cancelled,Credit Card,Retail Store
ORD0000207,CUST028605,2025-10-09,Returned,Credit Card,Mobile App
ORD0000208,CUST020691,2023-10-28,Processing,Credit Card,Partner
ORD0000209,CUST026590,2024-06-28,Processing,Digital Wallet,Mobile App
ORD0000210,CUST022923,2024-01-07,Processing,Debit Card,Mobile App
ORD0000211,CUST001596,2024-09-04,Returned,Debit Card,Partner
ORD0000212,CUST030762,2024-10-09,Processing,Credit Card,Website
ORD0000213,CUST029262,2025-02-07,Cancelled,Credit Card,Website
ORD0000214,CUST020694,2026-07-30,Shipped,Digital Wallet,Mobile App
ORD0000215,CUST036081,2024-04-24,Cancelled,Digital Wallet,Website
ORD0000216,CUST001624,2025-04-22,Completed,UPI,Website
ORD0000217,CUST009952,2025-05-09,Completed,Credit Card,Partner
ORD0000218,CUST000228,2026-01-11,Cancelled,Credit Card,Retail Store
ORD0000219,CUST048637,2023-11-12,Returned,UPI,Mobile App
ORD0000220,CUST024356,2026-01-24,Returned,Digital Wallet,Mobile App
ORD0000221,CUST009902,2025-09-16,Shipped,Credit Card,Mobile App
ORD0000222,CUST022732,2025-11-23,Returned,Digital Wallet,Website
ORD0000223,CUST028875,2025-04-10,Shipped,Debit Card,Mobile App
ORD0000224,CUST044805,2026-08-23,Returned,Credit Card,Mobile App
ORD0000225,CUST033291,2024-10-15,Returned,UPI,Website
ORD0000226,CUST025238,2026-07-19,Processing,Credit Card,Mobile App
ORD0000227,CUST012162,2025-01-26,Shipped,Digital Wallet,Website
ORD0000228,CUST013935,2024-02-25,Processing,Credit Card,Retail Store
ORD0000229,CUST017929,2026-02-23,Returned,UPI,Website
ORD0000230,CUST042180,2024-05-01,Processing,UPI,Website
ORD0000231,CUST031765,2026-07-15,Cancelled,Digital Wallet,Website
ORD0000232,CUST000221,2025-06-02,Cancelled,Digital Wallet,Website
ORD0000233,CUST021130,2026-07-25,Returned,Digital Wallet,Website
ORD0000234,CUST025609,2024-05-20,Returned,Debit Card,Retail Store
ORD0000235,CUST017974,2024-05-20,Completed,Credit Card,Retail Store
ORD0000236,CUST037339,2025-04-15,Processing,Credit Card,Mobile App
ORD0000237,CUST033608,2025-10-18,Processing,Debit Card,Mobile App
ORD0000238,CUST033669,2024-12-27,Cancelled,UPI,Website
ORD0000239,CUST009836,2024-09-25,Shipped,Credit Card,Mobile App
ORD0000240,CUST037173,2026-05-11,Returned,Credit Card,Mobile App
ORD0000241,CUST019473,2025-02-05,Shipped,Debit Card,Mobile App
ORD0000242,CUST037531,2024-01-30,Shipped,Bank Transfer,Mobile App
ORD0000243,CUST023487,2024-02-12,Cancelled,Credit Card,Partner
ORD0000244,CUST036762,2023-10-26,Completed,Credit Card,Partner
ORD0000245,CUST026848,2024-05-17,Returned,UPI,Partner
ORD0000246,CUST035684,2024-05-26,Processing,Bank Transfer,Mobile App
ORD0000247,CUST037671,2026-08-19,Returned,Digital Wallet,Partner
ORD0000248,CUST023560,2025-08-22,Processing,UPI,Mobile App
ORD0000249,CUST043615,2025-03-18,Processing,Credit Card,Partner
ORD0000250,CUST020081,2025-11-27,Returned,UPI,Mobile App
ORD0000251,CUST009835,2025-07-23,Processing,Bank Transfer,Website
ORD0000252,CUST032020,2025-01-11,Cancelled,UPI,Website
ORD0000253,CUST006682,2025-05-17,Returned,Debit Card,Mobile App
ORD0000254,CUST021989,2024-10-25,Cancelled,Credit Card,Retail Store
ORD0000255,CUST016392,2024-05-15,Processing,UPI,Mobile App
ORD0000256,CUST010325,2026-05-29,Cancelled,UPI,Mobile App
ORD0000257,CUST026546,2025-11-15,Processing,Debit Card,Retail Store
ORD0000258,CUST010606,2025-08-02,Returned,UPI,Website
ORD0000259,CUST047623,2024-03-04,Processing,Credit Card,Mobile App
ORD0000260,CUST048473,2024-02-06,Returned,Bank Transfer,Retail Store
ORD0000261,CUST029454,2025-01-13,Completed,Bank Transfer,Website
ORD0000262,CUST009466,2026-02-24,Completed,Credit Card,Partner
ORD0000263,CUST033448,2025-08-29,Shipped,Digital Wallet,Mobile App
ORD0000264,CUST035577,2024-03-28,Completed,Bank Transfer,Mobile App
ORD0000265,CUST013488,2024-03-09,Shipped,Digital Wallet,Website
ORD0000266,CUST033355,2024-06-06,Cancelled,Debit Card,Partner
ORD0000267,CUST047091,2024-08-23,Returned,Debit Card,Retail Store
ORD0000268,CUST000615,2024-06-19,Shipped,Digital Wallet,Website
ORD0000269,CUST012850,2026-04-08,Cancelled,Debit Card,Retail Store
ORD0000270,CUST038773,2025-04-08,Cancelled,UPI,Website
ORD0000271,CUST006558,2025-11-26,Returned,Debit Card,Partner
ORD0000272,CUST027358,2025-07-20,Returned,UPI,Retail Store
ORD0000273,CUST014428,2023-09-23,Completed,UPI,Mobile App
ORD0000274,CUST016483,2026-04-23,Completed,Digital Wallet,Partner
ORD0000275,CUST015336,2025-08-31,Returned,Digital Wallet,Retail Store
ORD0000276,CUST029747,2024-08-16,Processing,Credit Card,Mobile App
ORD0000277,CUST044365,2026-03-03,Shipped,Debit Card,Website
ORD0000278,CUST046844,2024-09-17,Completed,Bank Transfer,Retail Store
ORD0000279,CUST032673,2025-04-19,Cancelled,Digital Wallet,Partner
ORD0000280,CUST039639,2026-05-03,Returned,Digital Wallet,Retail Store
ORD0000281,CUST018212,2025-03-11,Completed,Digital Wallet,Website
ORD0000282,CUST000512,2025-10-10,Shipped,Digital Wallet,Mobile App
ORD0000283,CUST042485,2025-01-26,Completed,Debit Card,Retail Store
ORD0000284,CUST045604,2025-03-27,Shipped,Debit Card,Partner
ORD0000285,CUST003595,2025-05-11,Returned,Credit Card,Website
ORD0000286,CUST008860,2024-03-10,Returned,Bank Transfer,Partner
ORD0000287,CUST006837,2026-04-14,Cancelled,Bank Transfer,Website
ORD0000288,CUST000300,2025-06-14,Processing,Bank Transfer,Partner
ORD0000289,CUST019576,2026-01-16,Processing,Bank Transfer,Mobile App
ORD0000290,CUST029387,2025-07-28,Returned,Bank Transfer,Website
ORD0000291,CUST013485,2024-08-25,Completed,Bank Transfer,Retail Store
ORD0000292,CUST017705,2025-09-02,Processing,Debit Card,Retail Store
ORD0000293,CUST005053,2025-04-07,Completed,Digital Wallet,Website
ORD0000294,CUST023081,2025-11-21,Shipped,Debit Card,Retail Store
ORD0000295,CUST040500,2024-03-27,Returned,Bank Transfer,Partner
ORD0000296,CUST031994,2025-02-26,Cancelled,Debit Card,Mobile App
ORD0000297,CUST028080,2024-05-29,Returned,UPI,Mobile App
ORD0000298,CUST011885,2024-02-17,Shipped,UPI,Retail Store
ORD0000299,CUST049331,2025-08-03,Returned,Digital Wallet,Website
ORD0000300,CUST019384,2025-12-03,Returned,Credit Card,Partner
ORD0000301,CUST041483,2025-12-16,Completed,UPI,Retail Store
ORD0000302,CUST045614,2026-08-22,Returned,Credit Card,Retail Store
ORD0000303,CUST039788,2023-10-17,Returned,Credit Card,Retail Store
ORD0000304,CUST025763,2023-10-21,Completed,UPI,Retail Store
ORD0000305,CUST006882,2026-04-28,Cancelled,UPI,Retail Store
ORD0000306,CUST012499,2026-02-06,Completed,UPI,Mobile App
ORD0000307,CUST028302,2025-11-20,Shipped,Bank Transfer,Mobile App
ORD0000308,CUST040242,2024-05-12,Processing,UPI,Website
ORD0000309,CUST017403,2024-08-15,Returned,Bank Transfer,Retail Store
ORD0000310,CUST003787,2026-05-05,Processing,Credit Card,Website
ORD0000311,CUST020280,2024-03-28,Shipped,Credit Card,Retail Store
ORD0000312,CUST017118,2025-03-16,Cancelled,UPI,Retail Store
ORD0000313,CUST045121,2024-05-18,Cancelled,UPI,Mobile App
ORD0000314,CUST044281,2023-11-05,Completed,Digital Wallet,Website
ORD0000315,CUST006779,2023-10-04,Cancelled,Bank Transfer,Mobile App
ORD0000316,CUST001599,2026-01-10,Processing,Credit Card,Website
ORD0000317,CUST000125,2025-01-22,Returned,Credit Card,Website
ORD0000318,CUST027964,2024-09-17,Shipped,Credit Card,Mobile App
ORD0000319,CUST017109,2024-12-10,Shipped,Bank Transfer,Retail Store
ORD0000320,CUST047295,2024-05-23,Returned,Credit Card,Website
ORD0000321,CUST031158,2023-12-22,Completed,UPI,Website
ORD0000322,CUST018682,2026-04-11,Cancelled,Digital Wallet,Partner
ORD0000323,CUST017335,2024-01-19,Processing,Digital Wallet,Mobile App
ORD0000324,CUST023454,2025-12-28,Completed,UPI,Mobile App
ORD0000325,CUST038178,2024-08-09,Cancelled,UPI,Mobile App
ORD0000326,CUST004204,2024-11-03,Completed,Debit Card,Mobile App
ORD0000327,CUST012135,2025-05-26,Completed,Bank Transfer,Retail Store
ORD0000328,CUST038901,2026-02-28,Shipped,UPI,Partner
ORD0000329,CUST022740,2025-05-23,Returned,Bank Transfer,Partner
ORD0000330,CUST040828,2024-03-18,Shipped,Debit Card,Retail Store
ORD0000331,CUST030442,2025-09-10,Processing,Debit Card,Website
ORD0000332,CUST020705,2024-11-03,Processing,Bank Transfer,Mobile App
ORD0000333,CUST022537,2024-02-19,Completed,Credit Card,Partner
ORD0000334,CUST027178,2024-11-11,Shipped,UPI,Mobile App
ORD0000335,CUST042099,2025-01-11,Processing,Debit Card,Retail Store
ORD0000336,CUST044871,2025-03-22,Shipped,Credit Card,Retail Store
ORD0000337,CUST000536,2023-12-24,Returned,Digital Wallet,Retail Store
ORD0000338,CUST004346,2023-11-27,Cancelled,Digital Wallet,Retail Store
ORD0000339,CUST004903,2024-11-09,Completed,Bank Transfer,Website
ORD0000340,CUST038226,2026-05-18,Shipped,Credit Card,Website
ORD0000341,CUST032501,2024-01-06,Completed,UPI,Partner
ORD0000342,CUST033448,2024-04-22,Processing,UPI,Website
ORD0000343,CUST006838,2024-08-03,Processing,Credit Card,Mobile App
ORD0000344,CUST032113,2024-11-06,Shipped,Debit Card,Partner
ORD0000345,CUST023926,2026-07-25,Cancelled,Debit Card,Retail Store
ORD0000346,CUST005950,2026-05-11,Shipped,UPI,Retail Store
ORD0000347,CUST044568,2023-09-30,Completed,Credit Card,Retail Store
ORD0000348,CUST038667,2024-10-26,Completed,Debit Card,Website
ORD0000349,CUST029737,2023-12-17,Processing,Bank Transfer,Retail Store
ORD0000350,CUST001551,2024-09-05,Processing,Credit Card,Partner
ORD0000351,CUST034598,2023-11-12,Returned,Credit Card,Mobile App
ORD0000352,CUST048816,2024-12-24,Cancelled,UPI,Mobile App
ORD0000353,CUST001248,2024-09-29,Returned,Bank Transfer,Retail Store
ORD0000354,CUST033124,2025-07-25,Returned,Digital Wallet,Website
ORD0000355,CUST012237,2025-11-11,Returned,Credit Card,Website
ORD0000356,CUST002766,2025-06-23,Returned,Digital Wallet,Website
ORD0000357,CUST008479,2024-03-31,Cancelled,Debit Card,Website
ORD0000358,CUST010571,2026-08-10,Processing,Credit Card,Partner
ORD0000359,CUST042530,2024-06-15,Processing,Credit Card,Website
ORD0000360,CUST011113,2026-08-20,Cancelled,Digital Wallet,Partner
ORD0000361,CUST048950,2026-02-14,Cancelled,Credit Card,Retail Store
ORD0000362,CUST014066,2024-07-14,Returned,Debit Card,Mobile App
ORD0000363,CUST019822,2026-03-20,Cancelled,Debit Card,Website
ORD0000364,CUST039823,2023-09-30,Cancelled,Bank Transfer,Mobile App
ORD0000365,CUST000025,2025-11-21,Completed,Credit Card,Partner
ORD0000366,CUST008955,2024-09-02,Cancelled,Bank Transfer,Retail Store
ORD0000367,CUST038527,2026-03-05,Shipped,Credit Card,Website
ORD0000368,CUST019747,2024-07-30,Shipped,Digital Wallet,Website
ORD0000369,CUST029458,2023-12-15,Returned,Credit Card,Mobile App
ORD0000370,CUST002167,2026-05-28,Returned,Credit Card,Website
ORD0000371,CUST027934,2025-01-19,Processing,Digital Wallet,Partner
ORD0000372,CUST002667,2024-07-13,Returned,UPI,Website
ORD0000373,CUST034555,2026-08-01,Completed,Debit Card,Retail Store
ORD0000374,CUST005490,2024-08-20,Processing,Digital Wallet,Mobile App
ORD0000375,CUST018612,2024-09-14,Returned,Bank Transfer,Partner
ORD0000376,CUST034240,2025-12-16,Returned,Credit Card,Mobile App
ORD0000377,CUST013563,2025-02-18,Processing,UPI,Partner
ORD0000378,CUST042461,2026-05-20,Shipped,Credit Card,Partner
ORD0000379,CUST013757,2024-07-23,Shipped,Digital Wallet,Mobile App
ORD0000380,CUST001663,2025-02-13,Returned,Debit Card,Retail Store
ORD0000381,CUST015972,2025-10-03,Shipped,Bank Transfer,Partner
ORD0000382,CUST011940,2024-04-14,Returned,Bank Transfer,Mobile App
ORD0000383,CUST027547,2026-01-25,Processing,Debit Card,Partner
ORD0000384,CUST007743,2025-12-29,Completed,UPI,Mobile App
ORD0000385,CUST031790,2026-07-10,Returned,UPI,Mobile App
ORD0000386,CUST012043,2026-07-13,Completed,Digital Wallet,Partner
ORD0000387,CUST019960,2024-07-16,Shipped,Bank Transfer,Partner
ORD0000388,CUST029888,2024-10-23,Cancelled,UPI,Mobile App
ORD0000389,CUST008030,2025-09-30,Cancelled,Digital Wallet,Mobile App
